Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	Gene name	HGNC symbol	UniProtKB/Swiss-Prot ID
ENSG00000142319	ENSG00000142319.18	6531	SLC6A3	SLC6A3	Q01959
ENSG00000130309	ENSG00000130309.12	79709	COLGALT1	COLGALT1	Q8NBJ5
ENSG00000125650	ENSG00000125650.5	5623	PSPN	PSPN	O60542
ENSG00000088247	ENSG00000088247.19	8570	KHSRP	KHSRP	Q92945
ENSG00000153395	ENSG00000153395.10	79888	LPCAT1	LPCAT1	Q8NF37
ENSG00000105520	ENSG00000105520.11	64748	PLPPR2	PLPPR2	Q96GM1
ENSG00000115339	ENSG00000115339.14	2591	GALNT3	GALNT3	Q14435
ENSG00000172058	ENSG00000172058.16	8293	SERF1A	SERF1A	O75920
ENSG00000197658	ENSG00000197658.9	283238	SLC22A24	SLC22A24	Q8N4F4
ENSG00000134376	ENSG00000134376.17	23418	CRB1	CRB1	P82279
ENSG00000198851	ENSG00000198851.10	916	CD3E	CD3E	P07766
ENSG00000130726	ENSG00000130726.12	10155	TRIM28	TRIM28	Q13263
ENSG00000172062	ENSG00000172062.17	6607	SMN1	SMN1	Q16637
ENSG00000172062	ENSG00000172062.17	6606	SMN1	SMN1	Q16637
ENSG00000135365	ENSG00000135365.17	51317	PHF21A	PHF21A	Q96BD5
ENSG00000251692	ENSG00000251692.8	390667	PTX4	PTX4	Q96A99
ENSG00000123607	ENSG00000123607.16	79809	TTC21B	TTC21B	Q7Z4L5
ENSG00000100726	ENSG00000100726.15	9894	TELO2	TELO2	Q9Y4R8
ENSG00000131467	ENSG00000131467.12	10197	PSME3	PSME3	P61289
ENSG00000117400	ENSG00000117400.18	4352	MPL	MPL	P40238
ENSG00000103249	ENSG00000103249.19	1186	CLCN7	CLCN7	P51798
ENSG00000249437	ENSG00000249437.8	4671	NAIP	NAIP	Q13075
ENSG00000130725	ENSG00000130725.8	9040	UBE2M	UBE2M	P61081
ENSG00000117399	ENSG00000117399.14	991	CDC20	CDC20	Q12834
ENSG00000111269	ENSG00000111269.3	1389	CREBL2	CREBL2	O60519
ENSG00000183150	ENSG00000183150.8	2842	GPR19	GPR19	Q15760
ENSG00000130724	ENSG00000130724.10	27243	CHMP2A	CHMP2A	O43633
ENSG00000178878	ENSG00000178878.13	81575	APOLD1	APOLD1	Q96LR9
ENSG00000213782	ENSG00000213782.7	51202	DDX47	DDX47	Q9H0S4
ENSG00000214872	ENSG00000214872.9	219537	SMTNL1	SMTNL1	A8MU46
ENSG00000167346	ENSG00000167346.9	56547	MMP26	MMP26	Q9NRE1
ENSG00000167676	ENSG00000167676.5	729359	PLIN4	PLIN4	Q96Q06
ENSG00000066322	ENSG00000066322.15	64834	ELOVL1	ELOVL1	Q9BW60
ENSG00000063169	ENSG00000063169.12	29998	BICRA	BICRA	Q9NZM4
ENSG00000176922	ENSG00000176922.5	119692	OR51S1	OR51S1	Q8NGJ8
ENSG00000156689	ENSG00000156689.7	219970	GLYATL2	GLYATL2	Q8WU03
ENSG00000141562	ENSG00000141562.19	26502	NARF	NARF	Q9UHQ1
ENSG00000145736	ENSG00000145736.15	728340	GTF2H2	GTF2H2	Q13888
ENSG00000145736	ENSG00000145736.15	2966	GTF2H2	GTF2H2	Q13888
ENSG00000126243	ENSG00000126243.9	79414	LRFN3	LRFN3	Q9BTN0
ENSG00000173465	ENSG00000173465.8	10534	ZNRD2	ZNRD2	O60232
ENSG00000205138	ENSG00000205138.4	644096	SDHAF1	SDHAF1	A6NFY7
ENSG00000181392	ENSG00000181392.17	163183	SYNE4	SYNE4	Q8N205
ENSG00000155749	ENSG00000155749.13	130540	FLACC1	FLACC1	Q96Q35
ENSG00000174437	ENSG00000174437.18	488	ATP2A2	ATP2A2	P16615
ENSG00000176973	ENSG00000176973.8	23625	FAM89B	FAM89B	Q8N5H3
ENSG00000173442	ENSG00000173442.13	254102	EHBP1L1	EHBP1L1	Q8N3D4
ENSG00000277639	ENSG00000277639.3	105371267	CHD9NB	CHD9NB	A0A1B0GV96
ENSG00000159479	ENSG00000159479.17	112950	MED8	MED8	Q96G25
ENSG00000172824	ENSG00000172824.17	283848	CES4A	CES4A	Q5XG92
ENSG00000028277	ENSG00000028277.22	5452	POU2F2	POU2F2	P09086
ENSG00000115993	ENSG00000115993.13	66008	TRAK2	TRAK2	O60296
ENSG00000116337	ENSG00000116337.20	271	AMPD2	AMPD2	Q01433
ENSG00000173338	ENSG00000173338.13	10089	KCNK7	KCNK7	Q9Y2U2
ENSG00000173327	ENSG00000173327.8	4296	MAP3K11	MAP3K11	Q16584
ENSG00000082146	ENSG00000082146.13	55437	STRADB	STRADB	Q9C0K7
ENSG00000180185	ENSG00000180185.13	81889	FAHD1	FAHD1	Q6P587
ENSG00000170473	ENSG00000170473.17	84305	PYM1	PYM1	Q9BRP8
ENSG00000168101	ENSG00000168101.15	84309	NUDT16L1	NUDT16L1	Q9BRJ7
ENSG00000154928	ENSG00000154928.19	2047	EPHB1	EPHB1	P54762
ENSG00000185664	ENSG00000185664.15	6490	PMEL	PMEL	P40967
ENSG00000074660	ENSG00000074660.17	8578	SCARF1	SCARF1	Q14162
ENSG00000261509	ENSG00000261509.7	102723713	TP53TG3B	TP53TG3B	Q9ULZ0
ENSG00000261509	ENSG00000261509.7	102723655	TP53TG3B	TP53TG3B	Q9ULZ0
ENSG00000261509	ENSG00000261509.7	729355	TP53TG3B	TP53TG3B	Q9ULZ0
ENSG00000261509	ENSG00000261509.7	729264	TP53TG3B	TP53TG3B	Q9ULZ0
