feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
FKBP4,MAN2B1,219.24709,187.19809,0,0
ADAT1,CRTAP,219.91759,187.19088,0,0
TOMM34,FKBP14,229.75364,186.94228,0,0
GOLT1B,MPZL1,219.47536,186.89476,0,0
FKBP4,CALU,218.93705,186.88805,0,0
MAN2B1,LYPLA1,237.80139,186.81984,0,0
TOMM34,POLR2K,229.20958,186.39822,1,0
TOMM34,CRTAP,229.00032,186.18896,0,0
ACOT9,HPRT1,224.69913,186.0312,0,0
DNAJB6,CALU,258.72102,185.94604,0,0
CRTAP,GSTM2,229.27399,185.85632,0,0
FKBP14,IL1RAP,218.65509,185.62785,0,0
CIAPIN1,TARS,226.32233,184.95168,0,0
RFC5,GOLT1B,238.4208,184.72792,1,0
ALAS1,CALU,260.07426,184.58381,0,0
DLGAP5,NGRN,254.87456,184.54616,0,0
MAN2B1,KDELR2,217.83731,184.44917,0,0
MAN2B1,PARN,251.67139,184.39672,0,0
CALU,PARN,251.5941,184.31943,0,0
AARS,LYPLA1,234.31559,183.33404,0,0
CDC45,PARN,282.02165,182.90987,0,0
CCDC86,HPRT1,221.20971,182.54178,0,0
MAN2B1,CCNA2,242.48797,182.13889,0,0
ME2,AARS,231.53298,181.60588,1,0
MAP4K4,HPRT1,233.47764,181.54143,0,0
ARHGEF2,HPRT1,219.86967,181.20174,0,0
LSM5,PARN,248.42798,181.15331,1,0
IL13RA1,POLR2K,225.34125,180.87872,0,0
RFC2,PARN,248.06918,180.79451,0,0
LAP3,SRPRB,219.07234,180.68803,0,0
TARS,KDELR2,221.28124,179.91059,0,0
IL13RA1,BZW2,224.1124,179.64987,0,0
CALU,GSTM2,222.97817,179.5605,0,0
LYPLA1,PUF60,230.2961,179.31455,0,0
LAP3,PARN,246.57883,179.30416,0,0
MCM3,HPRT1,223.35443,179.04191,0,0
LYPLA1,KCNK1,229.63691,178.65536,0,0
