feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
PAPD7,HMGCR,137.17156,100.08193,0,0
SCYL3,PAFAH1B1,149.75375,100.04457,0,0
KDM5B,TOPBP1,162.47941,100.0353,0,0
FAM20B,UBQLN2,205.67167,100.02935,0,0
PAPD7,TLE3,139.70048,99.95107,0,0
CTCF,RRP1B,198.67386,99.89595,1,1
CGRRF1,EIF5,137.83251,99.86444,0,0
ZMIZ1,FANCL,209.29953,99.81298,0,0
UBR7,CGRRF1,137.67513,99.70706,0,0
RRP1B,KLHL9,198.80403,99.42597,0,0
FAM20B,NOLC1,184.03873,99.38445,0,0
SMC1A,CASK,152.4499,99.33664,1,0
PARP2,NVL,165.5309,99.21947,0,0
TM9SF3,ACBD3,188.8822,99.20283,1,0
DNAJA3,ABAT,176.55891,99.1581,0,0
ZMYM2,LBR,146.37861,99.11724,0,0
CNOT4,ABAT,152.92704,99.09852,0,0
MYCBP2,USP14,172.40205,99.09081,1,0
CRKL,CREB1,157.23207,98.88404,1,0
HMGCS1,NVL,159.80205,98.73605,0,0
ANXA7,DUSP11,180.69306,98.67765,0,0
TM9SF3,VAMP7,173.27186,98.53264,0,0
ANXA7,SNX2,180.53932,98.52391,1,0
NT5DC2,MTA1,132.65013,98.48388,0,0
SMC3,ALMS1,201.11067,98.3909,0,0
ZW10,SEC24C,211.78868,98.36002,0,0
ECD,MPZL1,163.02436,98.31428,0,0
CPNE3,NR3C1,147.45896,98.268,0,0
CREB1,ANXA7,180.20545,98.19004,0,0
RHOBTB1,SEC24C,188.20891,98.15206,0,0
DNAJA3,PDHX,175.5505,98.14969,1,0
PCM1,ANXA7,182.16273,98.11504,0,0
TLE3,UVRAG,137.8173,98.06789,0,0
ATP11B,SMC3,207.96126,97.86178,0,0
G3BP1,PHF2,161.92896,97.78501,0,0
CTNNAL1,SEC24C,212.38617,97.78443,0,0
VPS26A,MPZL1,178.38551,97.76027,0,0
TXNDC9,CAMSAP2,151.34158,97.75357,0,0
ALMS1,CAMSAP2,157.25541,97.62459,1,0
HEATR1,NOLC1,188.4357,97.49301,1,0
APPBP2,CAMSAP2,138.90734,97.43888,0,0
AARS,DDX10,157.1479,97.4183,0,0
TP53BP1,CNOT4,133.48016,97.38759,0,0
CCP110,CYTH1,183.75126,97.38055,0,0
ZNF131,PYCR1,134.97919,97.29492,0,0
TARS,SEC24C,165.52103,97.2793,0,0
ELAVL1,SOX4,200.45731,97.088,1,1
H2AFV,PIP4K2B,179.70623,96.98732,0,0
BZW2,PYCR1,132.04703,96.9334,0,0
SLC11A2,G3BP1,160.99918,96.85523,0,0
ZNF629,SEC24C,165.09221,96.85048,0,0
ZW10,AKAP1,210.27537,96.84671,0,0
TLE3,KIAA0753,205.18752,96.80424,0,0
CTCF,MSH6,189.27267,96.66398,1,0
SMC1A,CRKL,149.73889,96.62563,0,0
GOLT1B,ECD,168.21151,96.61654,0,0
PAFAH1B1,PDS5B,124.93156,96.54953,0,0
MBTPS1,PHF2,141.15322,96.35272,0,0
HMGCS1,ELOVL6,139.02272,96.31471,1,0
VPS26A,ACBD3,185.98757,96.3082,1,0
PAFAH1B1,DHX8,190.73842,96.29085,0,0
H2AFV,AKAP1,177.19681,96.27839,0,0
ZMIZ1,CTNNAL1,210.81511,96.21337,0,0
MRPL19,KLHDC2,167.19007,96.2126,0,0
TLE3,RBM15B,135.9603,96.21089,0,0
FKBP14,AKAP1,197.18745,96.07765,0,0
STK10,PYCR1,161.50886,96.06247,0,0
VPS72,RNPS1,173.02871,96.06203,1,0
SMC3,CTNNAL1,210.65698,96.05524,0,0
VPS26A,HSD17B11,176.66223,96.03699,0,0
MAP3K4,KLHDC2,166.9545,95.97703,0,0
ERCC5,LBR,148.07934,95.9269,0,0
SNX13,ANXA7,177.87824,95.86283,1,0
DHX29,AKAP1,175.24113,95.84479,0,0
ANXA7,HIST2H2BE,193.88932,95.80122,0,0
CREB1,CASK,154.11003,95.762,0,0
KDM5A,AKAP1,175.08466,95.68832,0,0
ZW10,NOLC1,209.10491,95.67625,1,0
PDS5A,APBB2,182.5506,95.64218,1,0
HMG20B,TLE3,202.58136,95.62235,0,0
LBR,PHF2,142.81398,95.55261,0,0
USP14,TRIM13,168.72322,95.41198,1,0
PCM1,SEC24C,179.42168,95.37399,0,0
ANXA7,TXNRD1,199.93865,95.31398,0,0
TLE3,ZNF131,135.03166,95.28225,0,0
TEX10,SEC24C,163.52363,95.2819,0,0
GGA2,TLE3,165.80156,95.24964,0,0
TNFRSF21,RRP1B,193.89668,95.11877,0,0
CTNNAL1,AKAP1,209.71972,95.11798,0,0
GABPB1,DDX42,175.35434,95.1059,0,0
MRPL19,ABAT,151.28209,95.07804,0,0
SMC1A,SEC24C,163.27853,95.0368,0,0
KDM5B,PDS5A,181.79705,94.88863,0,0
TLE3,LBR,142.14969,94.88832,0,0
SMC3,HEATR1,197.52631,94.80654,1,0
FANCL,VPS26A,202.29096,94.77625,0,0
ZMIZ1,MSH6,204.20584,94.71929,0,0
PCM1,KLHDC2,178.61652,94.56883,0,0
PDS5A,ZBTB5,181.23512,94.3267,0,0
SEC24C,MPZL1,162.48809,94.24636,0,0
PAFAH1B1,CREB1,152.58566,94.23763,1,0
PMM2,MRPS16,213.48269,94.23569,1,0
TLE3,INTS3,177.32053,94.23016,0,0
NUP88,SEC24C,182.51596,94.19669,0,0
TNFRSF21,CRTAP,175.91156,94.15259,0,0
SMC3,SFMBT1,219.23734,94.06429,0,0
XPNPEP1,ADAM10,172.46586,94.05536,0,0
ANXA7,CMPK1,176.0591,94.04369,0,0
CHIC2,VPS26A,198.53817,93.89701,0,0
SCYL3,SMC3,196.60427,93.8845,0,0
SNX13,KLHDC2,168.2204,93.87088,0,0
GNA11,TRAP1,150.1988,93.82595,0,0
EAPP,TSN,174.79967,93.71625,1,0
AKT1,MTA1,127.87033,93.70408,1,0
CREB1,UBQLN2,199.30273,93.66041,1,0
FAT1,EIF5,120.02027,93.56215,0,0
AKAP1,RRP1B,192.30702,93.52911,0,0
ARID4B,VPS26A,174.01453,93.38929,0,0
WDR61,SEC24C,187.14156,93.29264,0,0
JMJD6,MLLT11,146.89963,93.28106,0,0
FANCL,ECD,200.79528,93.28057,0,0
GABPB1,SEC24C,173.5211,93.27266,0,0
GABPB1,SMC3,195.96652,93.24675,0,0
VPS26A,TMED10,173.82822,93.20298,1,0
CREB1,APBB2,155.63212,93.18348,0,0
ATP5S,RPA1,204.82516,93.17807,0,0
TM9SF3,ELOVL6,167.89532,93.1561,0,0
USP6NL,SEC24C,161.39224,93.15051,0,0
SEC24C,DDX10,161.37323,93.1315,0,0
TXNDC9,EAPP,174.18062,93.0972,1,0
UBR7,PPP2R3C,128.47565,93.0519,0,0
SMC3,FANCL,200.51224,92.99753,1,0
TGDS,PHF2,145.72472,92.98376,0,0
FSD1,CCNF,235.90323,92.96375,0,0
CNOT4,HMGCS1,126.04334,92.91523,0,0
CHIC2,TLE3,197.52586,92.8847,0,0
WDR61,DDX42,186.72536,92.87644,0,0
TM9SF3,KIAA1033,167.59878,92.85956,1,0
CTCF,CTNNAL1,207.3944,92.79266,0,0
MBTPS1,CASK,131.83259,92.74906,0,0
PMM2,SEC24C,211.99466,92.74766,0,0
DNAJA3,KLHDC2,170.04609,92.64528,0,0
RFC5,AKAP1,189.63692,92.6364,0,0
PAFAH1B1,PCM1,176.66627,92.61858,0,0
SNX13,SEC24C,166.96592,92.6164,0,0
RAB21,ANXA7,192.03339,92.59209,1,0
NSFL1C,B4GAT1,178.90713,92.5429,0,0
FKBP14,PDHX,193.61925,92.50945,0,0
SLC11A2,ASAP2,145.17087,92.48711,0,0
TXNDC9,SEC24C,160.72728,92.48555,0,0
ZNF586,SEC24C,185.48726,92.44892,0,0
KDM5A,SEC24C,168.84512,92.42354,0,0
PAFAH1B1,ASAP2,145.08359,92.39983,0,0
MYCBP2,GGA2,162.95166,92.39974,0,0
ABL1,PMM2,211.64561,92.39861,0,0
GOLT1B,ANXA7,174.40333,92.38792,0,0
SNX13,AKAP1,171.71642,92.32008,0,0
ARID4B,ERCC5,148.43517,92.28591,0,0
MRPL19,ANXA7,174.27782,92.26241,0,0
ZW10,UBQLN2,205.65536,92.2267,0,0
TARS,ECD,157.87838,92.20902,0,0
ACD,SLC35B1,165.67522,92.1804,0,0
DCUN1D4,SEC24C,170.16547,92.09529,0,0
VPS26A,ADAM10,172.71969,92.09445,0,0
