feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
NCAPD2,PSIP1,285.13799,196.07989,0,0
TPD52L2,ERLIN1,313.30114,196.02518,0,0
DNTTIP2,TXLNA,297.39283,195.98939,0,0
MTHFD2,PPP3CA,350.26883,195.86097,0,0
TPD52L2,PANK2,290.59177,195.66097,0,0
KEAP1,MBOAT7,336.0643,195.42711,0,0
MBOAT7,RAB1B,336.03371,195.39652,0,0
DNTTIP2,TUBB6,305.60752,195.14165,0,0
TXNDC9,ARL4C,295.28306,195.10977,0,0
NUP88,DLGAP5,257.5983,194.88084,0,0
SYPL1,ATF5,395.45285,194.86387,0,0
CDC45,GFPT1,293.848,194.73622,0,0
ZNF451,KIF14,317.55892,194.6913,0,0
CD44,MSH6,290.3419,194.67169,1,0
RRP12,GFPT1,322.50121,194.48877,0,0
CD44,TM9SF3,284.26418,194.17312,0,0
DLGAP5,GFPT1,256.68324,193.96578,1,0
ENOPH1,ARL4C,294.32493,193.68174,0,0
PJA1,MLLT11,339.73062,193.65813,0,0
ITGAE,UFM1,353.36523,193.61144,0,0
CASC3,CCNA2,292.94656,193.47608,0,0
MBTPS1,KCTD5,353.65865,193.40325,0,0
CCNA2,USP1,319.81012,193.34581,1,0
TMEM109,MBOAT7,339.53888,193.27407,0,0
TM9SF3,CALU,283.116,193.22382,0,0
BUB1B,USP1,321.12299,192.75802,1,0
CENPE,MBNL1,299.08824,192.63554,0,0
BID,RAP1A,340.31475,192.54618,0,0
CNPY3,PSIP1,281.54778,192.48968,0,0
ACBD3,MLLT11,314.46541,191.98358,0,0
CRKL,CCNA2,282.27904,191.80211,0,0
THAP11,ARL4C,297.99652,191.72055,0,0
MCOLN1,CENPE,298.11219,191.65949,0,0
BUB1B,PSIP1,319.97296,191.60799,0,0
DNTTIP2,BTG3,292.99179,191.58835,0,0
TEX10,CCNF,362.9813,191.56669,0,1
RRP12,CRKL,319.5123,191.49986,0,0
STX1A,PSIP1,353.50856,191.47174,0,0
TEX10,TUBB6,309.64587,191.35418,0,0
MBOAT7,MBTPS1,351.47332,191.21792,0,0
CNPY3,MBNL1,294.0646,191.17293,0,0
HS2ST1,MLLT11,329.84143,190.96856,0,0
TM9SF3,DUSP14,282.42835,190.93501,0,0
TPD52L2,NOLC1,279.672,190.93103,0,0
ITGAE,RAP1A,350.66916,190.91537,0,0
CD44,FEZ2,319.30017,190.89876,0,0
AKT1,CCNF,362.17858,190.76397,1,1
UBE3C,TPD52L2,344.68053,190.64075,0,0
TUBB6,PHF2,300.94704,190.48117,0,0
ITFG1,ATF5,392.77128,190.43622,0,0
EML3,PSIP1,279.48971,190.43161,0,0
CD44,SCRN1,283.12505,190.35388,0,0
KIF14,KIAA1033,311.18571,190.33377,0,0
KIAA1033,BUB1B,318.5742,190.20923,0,0
ECD,CCNA2,321.06372,190.19423,0,0
IDE,ARL4C,290.12257,189.94928,0,0
CDK2,PHF2,286.41908,189.79348,0,0
POP4,MBOAT7,330.42313,189.78594,0,0
CDK2,PSIP1,285.62504,189.76674,1,0
ECHDC1,GOLT1B,338.75333,189.74625,0,0
TM9SF3,GOLT1B,279.50756,189.61538,0,0
KDM5B,MBOAT7,330.14399,189.5068,0,0
RAP1A,CNPY3,337.20196,189.43339,0,0
CDK2,TES,285.21154,189.35324,1,1
ITGAE,PSIP1,349.10638,189.35259,0,0
LASP1,TIMELESS,293.15526,189.33331,0,0
PSMD10,CCNA2,296.48755,189.06196,1,0
CDK2,KTN1,335.05054,188.89635,0,0
MTHFD2,RAD23B,343.27425,188.86639,0,0
TSTA3,LSM6,350.84863,188.85494,0,0
POP4,YKT6,279.5782,188.84983,0,0
DNM1L,PANK2,283.75616,188.82536,0,0
PSIP1,RNPS1,277.77569,188.71759,0,0
YBX3,WWOX,346.86923,188.69476,0,0
CDC45,H2AFV,324.32099,188.69265,1,0
MTHFD2,MRPL19,343.08959,188.68173,1,0
KIAA1033,TBC1D31,279.49883,188.67712,0,0
CD44,PJA1,334.64246,188.56997,0,0
RAB21,ATF5,389.06314,188.47416,0,0
NSDHL,ATF5,388.88112,188.29214,0,0
ZNF629,MBOAT7,328.89821,188.26102,0,0
NUP85,DDX42,291.98133,188.24475,1,0
TXLNA,USP1,314.70185,188.23754,0,0
KIF14,PSIP1,308.96955,188.11761,1,1
HACD3,ARL4C,288.2896,188.11631,0,0
CDC45,TEX10,306.34521,188.05352,0,0
RNH1,SLC5A6,347.94579,188.0385,0,0
CDK2,TMED10,331.19609,187.98368,0,1
UFM1,ATF5,388.32479,187.73581,0,0
TNFAIP1,SLC2A6,346.09677,187.589,0,0
SCYL3,CCNA2,266.18014,187.44033,0,0
RRP12,MRPL19,337.70374,187.15076,0,0
GNAS,APBB2,313.54443,187.1456,0,0
CD44,HS2ST1,326.00287,187.13,1,0
MTHFD2,NCOA3,368.25973,187.10165,0,0
DNTTIP2,ELOVL6,288.43571,187.03227,0,0
TMEM97,TUBB6,297.42129,186.95542,0,0
ZBTB24,CNPY3,255.23474,186.915,0,0
KIF14,PANK2,307.76403,186.91209,0,0
HS2ST1,ARL4C,325.78306,186.91019,0,0
BACE2,LYN,259.84341,186.81456,0,0
RRP12,H2AFV,322.38243,186.75409,0,0
ATP2C1,CD44,322.48111,186.72443,1,0
CCNA2,MBNL1,289.44376,186.55209,0,0
PCMT1,CCNA2,302.34307,186.47155,0,0
CCNA2,NOLC1,251.08876,186.4707,1,0
CCNA2,TLK2,287.14073,186.33319,0,0
CD44,NGRN,276.38055,186.28949,0,0
CAMSAP2,MLLT11,308.68394,186.20211,0,0
CDC45,PHF2,285.26998,186.1582,0,0
TTF1,FPGS,297.62509,186.15699,0,0
RAI14,GOLT1B,268.64542,185.87566,0,0
H2AFV,MBOAT7,326.35656,185.71937,0,0
TM9SF3,TPD52L2,275.61057,185.71839,0,0
RAP1A,PMAIP1,335.75908,185.66502,0,1
DNTTIP2,SLC5A6,345.45072,185.54343,0,0
MBOAT7,USP1,326.13629,185.4991,0,0
H2AFV,ARL4C,320.97466,185.34632,0,0
PSIP1,IFRD2,274.40235,185.34425,0,0
GNAI2,SLC2A6,343.83275,185.32498,1,0
DNTTIP2,JMJD6,286.69831,185.29487,0,0
TEX10,CEP55,336.63023,185.25574,0,0
MYO10,MLLT11,307.67744,185.19561,0,0
TXLNA,MSH6,280.85312,185.18291,0,0
CD44,TES,275.21145,185.08392,0,0
MSH6,CDK2,280.8139,184.9556,1,0
UGP2,BACE2,262.28724,184.95109,0,0
SMC4,PSIP1,273.96784,184.90974,1,0
ASCC3,ARL4C,285.04522,184.87193,0,0
CCNB2,USP1,365.3522,184.83653,1,0
CD44,ACBD3,275.61043,184.83614,0,0
CDK2,GOLIM4,326.29678,184.81276,0,0
CD44,CRTAP,274.88434,184.79328,0,0
TXLNA,NOLC1,249.29827,184.68021,0,0
